"","date","total_cases","new_cases","new_cases_smoothed","total_deaths","new_deaths","new_deaths_smoothed"
"1","2020-01-01",0,0,0,0,0,0
"2","2020-01-02",0,0,0,0,0,0
"3","2020-01-03",0,0,0,0,0,0
"4","2020-01-04",14,14,0,0,0,0
"5","2020-01-05",14,0,0,0,0,0
"6","2020-01-06",26,12,0,0,0,0
"7","2020-01-07",26,0,0,0,0,0
"8","2020-01-08",30,4,4.286,0,0,0
"9","2020-01-09",35,5,4.999,0,0,0
"10","2020-01-10",35,0,4.999,0,0,0
"11","2020-01-11",40,5,3.717,0,0,0
"12","2020-01-12",209,169,27.858,4,4,0.572
"13","2020-01-13",213,4,26.714,4,0,0.572
"14","2020-01-14",238,25,30.285,4,0,0.572
"15","2020-01-15",238,0,29.713,4,0,0.572
"16","2020-01-16",238,0,29,4,0,0.572
"17","2020-01-17",242,16,30.573,8,4,1.144
"18","2020-01-18",258,16,32.859,8,0,1.144
"19","2020-01-19",566,308,52.716,12,4,1.144
"20","2020-01-20",883,317,97.43,16,4,1.716
"21","2020-01-21",1255,372,147.001,24,8,2.856
"22","2020-01-22",1847,592,231.572,68,44,9.144
"23","2020-01-23",2372,537,307.572,72,4,9.716
"24","2020-01-24",3476,1104,463.715,104,32,13.716
"25","2020-01-25",5368,1892,731.715,168,64,22.856
"26","2020-01-26",8156,2800,1086.999,224,56,30.284
"27","2020-01-27",11316,3160,1492.141,328,104,44.572
"28","2020-01-28",18416,7116,2454.573,524,196,71.428
"29","2020-01-29",24344,5933,3217.858,532,8,66.284
"30","2020-01-30",31371,7027,4147.431,684,152,87.428
"31","2020-01-31",39442,8071,5142.716,852,168,106.856
"32","2020-02-01",47890,8464,6079.002,1040,188,124.572
"33","2020-02-02",58312,10434,7171.431,1452,412,175.428
"34","2020-02-03",69660,11348,8341.859,1708,256,197.144
"35","2020-02-04",82682,13022,9185.571,1976,268,207.43
"36","2020-02-05",98422,15756,10586.716,2264,288,247.43
"37","2020-02-06",113296,14874,11707.144,2544,280,265.716
"38","2020-02-07",125921,12641,12359.858,2884,340,290.287
"39","2020-02-08",139539,13618,13099.001,3232,348,313.144
"40","2020-02-09",150187,10660,13129.43,3632,400,311.428
"41","2020-02-10",162167,11980,13219.716,4060,428,336
"42","2020-02-11",172105,9938,12779.431,4460,400,354.856
"43","2020-02-12",180248,8143,11693.429,4480,20,316.572
"44","2020-02-13",240929,60681,18237.287,5492,1012,421.144
"45","2020-02-14",257216,16287,18758.141,6100,608,459.428
"46","2020-02-15",267852,10648,18332.713,6678,578,492.286
"47","2020-02-16",276001,8149,17975.142,7094,416,494.573
"48","2020-02-17",284238,8249,17440.428,7486,392,489.43
"49","2020-02-18",291884,7646,17112.999,8042,556,511.716
"50","2020-02-19",299085,7201,16979.002,8494,452,573.43
"51","2020-02-20",300782,1697,8552.715,8986,492,499.145
"52","2020-02-21",304764,3982,6794.859,8999,13,414.144
"53","2020-02-22",308994,4230,5879.146,9827,828,449.858
"54","2020-02-23",312961,3967,5281.716,9853,26,394.144
"55","2020-02-24",315076,2115,4405.431,10482,629,428
"56","2020-02-25",318305,3237,3775.574,10798,316,393.715
"57","2020-02-26",321687,3382,3230.005,11053,255,365.571
"58","2020-02-27",326188,4501,3630.574,11208,155,317.428
"59","2020-02-28",331253,5081,3786.575,11429,221,347.144
"60","2020-02-29",339137,7884,4308.433,11685,256,265.43
"61","2020-03-01",346398,7261,4778.434,11909,224,293.716
"62","2020-03-02",354436,8058,5627.432,12174,265,241.716
"63","2020-03-03",362120,7684,6262.146,12465,291,238.143
"64","2020-03-04",371281,9161,7088.148,12850,385,256.715
"65","2020-03-05",383296,12025,8163.006,13225,375,288.144
"66","2020-03-06",396476,13185,9322.007,13696,471,323.86
"67","2020-03-07",410915,14439,10257.866,14180,484,356.429
"68","2020-03-08",429670,18771,11900.432,14638,458,389.856
"69","2020-03-09",449877,20223,13637.286,15598,960,489.146
"70","2020-03-10",473002,23129,15842.865,16584,986,588.429
"71","2020-03-11",497827,24837,18082.716,17900,1316,721.43
"72","2020-03-12",535602,37775,21765.58,19534,1634,901.292
"73","2020-03-13",582809,47207,26625.862,21268,1734,1081.716
"74","2020-03-14",636116,53323,32178.58,23542,2274,1337.432
"75","2020-03-15",698091,61975,38351.289,25599,2057,1565.86
"76","2020-03-16",759540,61449,44239.576,28996,3397,1914.003
"77","2020-03-17",835138,75598,51733.72,32573,3577,2284.148
"78","2020-03-18",925288,90150,61068.144,36798,4225,2699.72
"79","2020-03-19",1038032,112898,71795.434,42110,5312,3225.146
"80","2020-03-20",1170924,132896,84041.147,48158,6048,3841.432
"81","2020-03-21",1322967,152043,98144.156,55731,7573,4598.434
